player1,player2,p1_cards,p2_cards,p1_tricks,p2_tricks,cards_p1_wins,cards_p2_wins,cards_ties,tricks_p1_wins,tricks_p2_wins,tricks_ties,cards_p1_win_rate,cards_p2_win_rate,cards_tie_rate,tricks_p1_win_rate,tricks_p2_win_rate,tricks_tie_rate
000,001,47523751,47830316,7013534,7423177,944270,1015847,40083,808925,882730,308545,0.4720877912208779,0.5078727127287271,0.02003949605039496,0.4044220577942206,0.4413208679132087,0.15425707429257074
000,010,36946214,58591467,5780142,9102122,555073,1412512,32615,423738,1329077,247385,0.2775087491250875,0.7061853814618538,0.016305869413058695,0.21184781521847815,0.6644720527947205,0.12368013198680132
000,011,37190057,60865133,7013534,10927132,352652,1607713,39835,225275,1539286,235639,0.17630836916308368,0.8037761223877612,0.019915508449155083,0.11262623737626237,0.7695660433956605,0.11780771922807719
000,100,5078277,90282753,1692759,12744757,16,2000174,10,2213,1990012,7975,7.999200079992e-06,0.9999870012998701,4.999500049995e-06,0.0011063893610638936,0.9949065093490651,0.003987101289871013
000,101,39515395,57891214,7013534,10238948,504394,1453001,42805,335247,1388973,275980,0.2521717828217178,0.7264278572142786,0.0214003599640036,0.1676067393260674,0.6944170582941706,0.13797620237976202
000,110,23973560,74087130,5193937,12746337,18826,1976031,5343,16671,1934632,48897,0.009412058794120588,0.9879167083291671,0.002671232876712329,0.008334666533346665,0.9672192780721928,0.024446055394460552
000,111,47219472,47245710,7013534,7015040,970514,972329,57357,649728,650488,699984,0.4852084791520848,0.4861158884111589,0.028675632436756325,0.3248315168483152,0.32521147885211477,0.34995700429957005
001,000,47830316,47523751,7423177,7013534,1015847,944270,40083,882730,808925,308545,0.5078727127287271,0.4720877912208779,0.02003949605039496,0.4413208679132087,0.4044220577942206,0.15425707429257074
001,010,67912948,29577485,11302919,5887478,1727349,246748,26103,1602873,231427,165900,0.8635881411858815,0.12336166383361664,0.01305019498050195,0.8013563643635636,0.1157019298070193,0.08294170582941705
001,011,70084363,28699641,12744762,6373850,1911819,71847,16534,1766176,103356,130668,0.9558139186081391,0.03591990800919908,0.008266173382661734,0.882999700029997,0.051672832716728324,0.06532746725327468
001,100,14798157,81326312,3878250,11951072,3836,1995398,966,52716,1870755,76729,0.0019178082191780822,0.9975992400759924,0.00048295170482951703,0.026355364463553646,0.9352839716028397,0.03836066393360664
001,101,66835595,32504101,12744762,7730031,1835637,136728,27835,1584977,226534,188689,0.9177267273272672,0.06835716428357164,0.013916108389161084,0.7924092590740925,0.11325567443255674,0.09433506649335066
001,110,49663721,49680885,10236840,10240743,954946,956894,88360,817969,819587,362644,0.4774252574742526,0.4783991600839916,0.044175582441755824,0.40894360563943605,0.40975252474752527,0.1813038696130387
001,111,74083594,23967172,12744762,5192645,1976267,18728,5205,1934971,16667,48562,0.9880346965303469,0.009363063693630637,0.002602239776022398,0.9673887611238876,0.008332666733326667,0.024278572142785722
010,000,58591467,36946214,9102122,5780142,1412512,555073,32615,1329077,423738,247385,0.7061853814618538,0.2775087491250875,0.016305869413058695,0.6644720527947205,0.21184781521847815,0.12368013198680132
010,001,29577485,67912948,5887478,11302919,246748,1727349,26103,231427,1602873,165900,0.12336166383361664,0.8635881411858815,0.01305019498050195,0.1157019298070193,0.8013563643635636,0.08294170582941705
010,011,49671307,49669200,10237362,10236931,972198,970726,57276,863678,863235,273287,0.48605039496050395,0.4853144685531447,0.028635136486351364,0.4317958204179582,0.43157434256574345,0.13662983701629838
010,100,45783808,51715427,8534248,8655383,840636,1116234,43330,847790,883856,268554,0.4202759724027597,0.5580611938806119,0.021662833716628336,0.42385261473852615,0.4418838116188381,0.13426357364263575
010,101,47471463,47459234,7276606,7276075,976924,975545,47731,812938,812617,374645,0.4884131586841316,0.48772372762723726,0.023863113688631137,0.40642835716428355,0.4062678732126787,0.18730376962303769
010,110,32505688,66842847,7729770,12746337,137188,1835244,27768,226810,1584907,188483,0.06858714128587141,0.9175302469753025,0.013882611738826118,0.1133936606339366,0.7923742625737427,0.09423207679232076
010,111,57893786,39525441,10237362,7015040,1452655,504980,42565,1387699,336489,276012,0.7262548745125488,0.25246475352464753,0.021280371962803718,0.6937801219878013,0.16822767723227677,0.137992200779922
011,000,60865133,37190057,10927132,7013534,1607713,352652,39835,1539286,225275,235639,0.8037761223877612,0.17630836916308368,0.019915508449155083,0.7695660433956605,0.11262623737626237,0.11780771922807719
011,001,28699641,70084363,6373850,12744762,71847,1911819,16534,103356,1766176,130668,0.03591990800919908,0.9558139186081391,0.008266173382661734,0.051672832716728324,0.882999700029997,0.06532746725327468
011,010,49669200,49671307,10236931,10237362,970726,972198,57276,863235,863678,273287,0.4853144685531447,0.48605039496050395,0.028635136486351364,0.43157434256574345,0.4317958204179582,0.13662983701629838
011,100,49682127,49661952,10239914,10236640,971241,971383,57576,863051,862573,274576,0.4855719428057194,0.48564293570642936,0.028785121487851215,0.4314823517648235,0.43124337566243376,0.13727427257274272
011,101,51705797,45794027,8654509,8535569,1115944,840690,43566,883690,847802,268708,0.5579162083791621,0.4203029697030297,0.02178082191780822,0.4418008199180082,0.42385861413858616,0.13434056594340565
011,110,81336145,14796247,11951277,3878392,1995456,3735,1009,1870907,52510,76783,0.9976282371762824,0.0018673132686731328,0.0005044495550444955,0.9353599640035997,0.026252374762523747,0.03838766123387661
011,111,90296623,5071773,12745717,1690591,2000168,14,18,1989984,2201,8015,0.99998400159984,6.999300069993001e-06,8.999100089991001e-06,0.9948925107489252,0.0011003899610038995,0.0040070992900709925
