player1,player2,p1_cards,p2_cards,p1_tricks,p2_tricks,cards_p1_wins,cards_p2_wins,cards_ties,tricks_p1_wins,tricks_p2_wins,tricks_ties,cards_p1_win_rate,cards_p2_win_rate,cards_tie_rate,tricks_p1_win_rate,tricks_p2_win_rate,tricks_tie_rate
110,000,74088871,23960810,12747292,5191911,1975832,18888,5280,1934392,16764,48844,0.987916,0.009444,0.00264,0.967196,0.008382,0.024422
110,001,49672513,49664883,10240396,10238485,956329,955457,88214,819157,818248,362595,0.4781645,0.4777285,0.044107,0.4095785,0.409124,0.1812975
110,010,66842537,32494686,12747292,7727708,1835635,136681,27684,1585366,226038,188596,0.9178175,0.0683405,0.013842,0.792683,0.113019,0.094298
110,011,14786251,81334328,3875827,11953616,3840,1995158,1002,52303,1871029,76668,0.00192,0.997579,0.000501,0.0261515,0.9355145,0.038334
110,100,70083335,28696740,12747292,6373978,1911394,71874,16732,1765538,103485,130977,0.955697,0.035937,0.008366,0.882769,0.0517425,0.0654885
110,101,67916783,29577367,11302494,5886899,1726699,246935,26366,1602136,232545,165319,0.8633495,0.1234675,0.013183,0.801068,0.1162725,0.0826595
110,111,47860227,47503641,7426182,7010886,1016547,943784,39669,882134,808334,309532,0.5082735,0.471892,0.0198345,0.441067,0.404167,0.154766
111,000,47243586,47215270,7010886,7010316,971969,970743,57288,649614,649672,700714,0.4859845,0.4853715,0.028644,0.324807,0.324836,0.350357
111,001,23957544,74087251,5190122,12745173,18800,1975997,5203,16640,1934558,48802,0.0094,0.9879985,0.0026015,0.00832,0.967279,0.024401
111,010,39505499,57899502,7010886,10238422,504757,1452679,42564,335891,1388106,276003,0.2523785,0.7263395,0.021282,0.1679455,0.694053,0.1380015
111,011,5067351,90290201,1689117,12747222,19,1999970,11,2260,1989871,7869,9.5e-06,0.999985,5.5e-06,0.00113,0.9949355,0.0039345
111,100,37166890,60879325,7010886,10925833,351883,1608165,39952,225618,1539319,235063,0.1759415,0.8040825,0.019976,0.112809,0.7696595,0.1175315
111,101,36942189,58596940,5779057,9102999,554050,1413239,32711,423072,1330341,246587,0.277025,0.7066195,0.0163555,0.211536,0.6651705,0.1232935
111,110,47503641,47860227,7010886,7426182,943784,1016547,39669,808334,882134,309532,0.471892,0.5082735,0.0198345,0.404167,0.441067,0.154766
